team,match,placement_points,kill_points,total_points,wins,alive_circle1,alive_circle2,alive_circle3,alive_circle4,alive_circle5,alive_circle6,alive_circle7,alive_circle8,alive_circle9,favored_circle1,favored_circle2,favored_circle3,favored_circle4,favored_circle5,favored_circle6,favored_circle7,favored_circle8,favored_circle9,total_circles_alive,total_favorable_circles,circle_favor_proportion,relative_circle_favor
BMG,1,0,2,2,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
C9,1,0,3,3,0,1,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
DNL,1,10,13,23,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,NA,8,5,0.625,-0.878842195
END,1,1,5,6,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,7,0,0,-1.503842195
EU,1,0,3,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
EXG,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
GG,1,0,3,3,0,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,3,1,0.333333333,-1.170508862
LZR,1,3,0,3,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,7,2,0.285714286,-1.218127909
NV,1,2,4,6,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,7,1,0.142857143,-1.360985052
P1E,1,4,2,6,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,NA,NA,7,4,0.571428571,-0.932413624
PEC,1,6,3,9,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,NA,8,3,0.375,-1.128842195
RUM,1,0,4,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,-1.503842195
SIM,1,0,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,-1.503842195
SSG,1,1,2,3,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,6,1,0.166666667,-1.337175528
TS,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,0,0,-1.503842195
WC,1,5,2,7,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,NA,NA,7,6,0.857142857,-0.646699338
BMG,2,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,5,1,0.2,-1.303842195
C9,2,4,11,15,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,NA,8,4,0.5,-1.003842195
DNL,2,3,2,5,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,NA,8,2,0.25,-1.253842195
END,2,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,1,0.25,-1.253842195
EU,2,1,1,2,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,NA,NA,7,6,0.857142857,-0.646699338
EXG,2,0,2,2,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,NA,NA,NA,NA,5,4,0.8,-0.703842195
GG,2,2,5,7,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,NA,NA,7,5,0.714285714,-0.789556481
LZR,2,0,2,2,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,6,3,0.5,-1.003842195
NV,2,0,4,4,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,-1.503842195
P1E,2,5,8,13,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,9,6,0.666666667,-0.837175528
PEC,2,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,-1.503842195
RUM,2,0,4,4,0,1,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,-0.503842195
SIM,2,0,4,4,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,-1.003842195
SSG,2,6,5,11,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,9,6,0.666666667,-0.837175528
