team,match,day,week,placement_points,kill_points,total_points,cumulative_points,rolling_avg_points,wins,alive_circle1,alive_circle2,alive_circle3,alive_circle4,alive_circle5,alive_circle6,alive_circle7,alive_circle8,alive_circle9,favored_circle1,favored_circle2,favored_circle3,favored_circle4,favored_circle5,favored_circle6,favored_circle7,favored_circle8,favored_circle9,total_circles_alive,total_favorable_circles,circle_favor_proportion,34569_alive,34569_favorable,34569_favor_proportion,34569_favor_proportion_new,relative_circle_favor
BMG,1,1,1,0,2,2,2,3.388888889,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,5,1,0.2,3,0,0,0,-1.40569689
C9,1,1,1,0,3,3,3,6.888888889,0,1,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,4,2,0.5,2,1,0.5,0.25,-1.10569689
END,1,1,1,1,5,6,6,3.888888889,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,7,0,0,4,0,0,0,-1.60569689
EU,1,1,1,0,3,3,3,3.611111111,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
EXG,1,1,1,0,0,0,0,0.666666667,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,2,0,0,0,-1.10569689
GG,1,1,1,0,3,3,3,4,0,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,3,1,0.333333333,1,0,0,0,-1.272363556
LZR,1,1,1,3,0,3,3,3.833333333,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,7,2,0.285714286,4,2,0.5,0.285714286,-1.319982604
NV,1,1,1,2,4,6,6,5.111111111,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,7,1,0.142857143,4,1,0.25,0.142857143,-1.462839747
P1E,1,1,1,4,2,6,6,8.833333333,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,NA,NA,7,4,0.571428571,4,1,0.25,0.142857143,-1.034268318
PEC,1,1,1,6,3,9,9,6.111111111,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,NA,8,3,0.375,4,3,0.75,0.375,-1.23069689
RUM,1,1,1,0,4,4,4,2.944444444,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,3,0,0,0,-1.60569689
SA,1,1,1,10,13,23,23,15.44444444,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,NA,8,5,0.625,4,3,0.75,0.375,-0.98069689
SIM,1,1,1,0,2,2,2,2.333333333,0,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,4,0,0,2,0,0,0,-1.60569689
SSG,1,1,1,1,2,3,3,5.444444444,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,6,1,0.166666667,4,1,0.25,0.166666667,-1.439030223
TS,1,1,1,0,0,0,0,6.5,0,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,0,-1.60569689
WC,1,1,1,5,2,7,7,5.944444444,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,NA,NA,7,6,0.857142857,4,4,1,0.571428571,-0.748554033
BMG,2,1,1,0,1,1,3,4.291666667,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,5,1,0.2,3,0,0,0,-1.40569689
C9,2,1,1,4,11,15,18,7.041666667,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,NA,8,4,0.5,4,2,0.5,0.25,-1.10569689
END,2,1,1,0,0,0,6,3.416666667,0,1,1,1,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,4,1,0.25,2,0,0,0,-1.35569689
EU,2,1,1,1,1,2,5,5.083333333,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,NA,NA,7,6,0.857142857,4,3,0.75,0.428571429,-0.748554033
EXG,2,1,1,0,2,2,2,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,NA,NA,NA,NA,5,4,0.8,3,2,0.666666667,0.4,-0.80569689
GG,2,1,1,2,5,7,10,3.75,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,NA,NA,7,5,0.714285714,4,3,0.75,0.428571429,-0.891411176
LZR,2,1,1,0,2,2,5,4.875,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,NA,NA,NA,6,3,0.5,4,2,0.5,0.333333333,-1.10569689
NV,2,1,1,0,4,4,10,4.895833333,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,3,0,0,0,-1.60569689
P1E,2,1,1,5,8,13,19,8.8125,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,9,6,0.666666667,5,4,0.8,0.444444444,-0.939030223
PEC,2,1,1,0,1,1,10,5.520833333,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,5,0,0,3,0,0,0,-1.60569689
RUM,2,1,1,0,1,1,5,3.145833333,0,1,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,1,0,0,NA,0,-0.60569689
SA,2,1,1,3,2,5,28,13.39583333,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,NA,8,2,0.25,4,1,0.25,0.125,-1.35569689
SIM,2,1,1,0,4,4,6,2.5625,0,1,1,1,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,4,2,0.5,2,0,0,0,-1.10569689
SSG,2,1,1,6,5,11,14,5.458333333,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,9,6,0.666666667,5,4,0.8,0.444444444,-0.939030223
TS,2,1,1,10,13,23,23,6.4375,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,9,6,0.666666667,5,3,0.6,0.333333333,-0.939030223
WC,2,1,1,1,1,2,9,6.208333333,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,NA,NA,NA,6,2,0.333333333,4,2,0.5,0.333333333,-1.272363556
BMG,3,1,1,10,7,17,20,4.553333333,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,NA,8,5,0.625,4,3,0.75,0.375,-0.98069689
